geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
b3a92429,run708473b806,kaon0L,10,3,3,4,4.1174,4.1886,4.3261,0.5975,0.3738,0.4754,0.05,3.0,3.497611,0.02,0.8076666666666666,0.40409979087957565
bf418346,run2acc8eacca,neutron,10,3,3,4,3.6451,4.2743,3.7007,0.5285,0.4208,0.3952,0.05,3.0,3.9395654205,0.02,0.7156666666666667,0.4114850549016917
bf418346,rune93f502e9f,kaon0L,10,3,3,4,3.6451,4.2743,3.7007,0.5285,0.4208,0.3952,0.05,3.0,3.497611,0.02,0.7743333333333333,0.39938166622585786
833f96ce,runfa51eca095,neutron,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,3.0,3.9395654205,0.02,0.6893333333333334,0.44306357435207566
833f96ce,run8b1507b569,kaon0L,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,3.0,3.497611,0.02,0.7583333333333333,0.4270201159586563
a27b73b0,run70d19ee267,kaon0L,10,3,3,4,4.2884,3.6742,4.3994,0.3627,0.5689,0.4553,0.05,3.0,3.497611,0.02,0.779,0.4121410684040475
a27b73b0,run7bb702b1da,neutron,10,3,3,4,4.2884,3.6742,4.3994,0.3627,0.5689,0.4553,0.05,3.0,3.9395654205,0.02,0.725,0.4064348944941761
14fe6567,run5e30078b98,kaon0L,10,3,3,4,4.1278,3.6292,3.6814,0.5987,0.4344,0.4032,0.05,3.0,3.497611,0.02,0.7693333333333333,0.4042332087279564
14fe6567,run25a87a8af3,neutron,10,3,3,4,4.1278,3.6292,3.6814,0.5987,0.4344,0.4032,0.05,3.0,3.9395654205,0.02,0.719,0.41943672178062225
4e10581d,rund2934b3007,neutron,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,3.0,3.9395654205,0.02,0.725,0.40957590467871335
4e10581d,run4a6ecba642,kaon0L,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,3.0,3.497611,0.02,0.771,0.3895846351542925
2c0c56a3,run142bc94f92,neutron,10,3,3,4,4.4614,3.6932,4.4907,0.4909,0.474,0.5202,0.05,3.0,3.9395654205,0.02,0.7586666666666667,0.40565698140988654
2c0c56a3,run24c90357ce,kaon0L,10,3,3,4,4.4614,3.6932,4.4907,0.4909,0.474,0.5202,0.05,3.0,3.497611,0.02,0.8046666666666666,0.3910258211974985
75dbc9b5,run60d00f0eed,neutron,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,3.0,3.9395654205,0.02,0.72,0.4273228805716974
75dbc9b5,rune649fe0a68,kaon0L,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,3.0,3.497611,0.02,0.7733333333333333,0.45143480758927457
307c33c5,run5f46097326,kaon0L,10,3,3,4,3.8988,3.5958,4.4255,0.3093,0.3396,0.4208,0.05,3.0,3.497611,0.02,0.7156666666666667,0.3539327528362341
307c33c5,run02603e43e9,neutron,10,3,3,4,3.8988,3.5958,4.4255,0.3093,0.3396,0.4208,0.05,3.0,3.9395654205,0.02,0.612,0.37636510303149157
6187061c,runc1301d077a,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,3.0,3.497611,0.02,0.8116666666666666,0.4172272564370915
6187061c,run535201cad2,neutron,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,3.0,3.9395654205,0.02,0.7713333333333333,0.4346689796536528
2a6170b3,runad1a7bcb79,kaon0L,10,3,3,4,3.9619,3.941,4.4271,0.5225,0.42,0.4646,0.05,3.0,3.497611,0.02,0.792,0.40786099012965993
2a6170b3,run1692ffcb56,neutron,10,3,3,4,3.9619,3.941,4.4271,0.5225,0.42,0.4646,0.05,3.0,3.9395654205,0.02,0.7306666666666667,0.4281952531134088
053c866b,run2507fd5c56,neutron,10,3,3,4,3.6305,3.6426,4.0302,0.3683,0.598,0.4582,0.05,3.0,3.9395654205,0.02,0.7283333333333334,0.4076580885847858
053c866b,run3b94465aac,kaon0L,10,3,3,4,3.6305,3.6426,4.0302,0.3683,0.598,0.4582,0.05,3.0,3.497611,0.02,0.776,0.3909589338374757
1bb09549,run3688001847,kaon0L,10,3,3,4,4.4199,4.2924,4.1047,0.4024,0.3516,0.4166,0.05,3.0,3.497611,0.02,0.7276666666666667,0.3820231790048459
