geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
7ee5b35e,3.0,10,3,3,4,3.7627,3.7988,3.9108,0.5007,0.591,0.5774,0.05,0.804,,0.39490428504934644,,0.7883333333333333,,0.4107382664390857,
7f2924f1,3.0,10,3,3,4,3.7158,4.1318,4.4668,0.5578,0.3205,0.3404,0.05,0.7126666666666667,,0.41687242448387046,,0.6493333333333333,,0.41230039114822087,
80827b09,3.0,10,3,3,4,4.2367,4.4566,3.5245,0.5036,0.5177,0.5245,0.05,0.8,,0.40760160665154266,,0.767,,0.41690109088610655,
82e534a8,3.0,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,0.7526666666666667,,0.36876156978245644,,0.6753333333333333,,0.3651882817602346,
833f96ce,3.0,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,0.7583333333333333,,0.4270201159586563,,0.6893333333333334,,0.44306357435207566,
8640d9db,3.0,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,0.817,,0.41930061973240007,,0.774,,0.40724380970000484,
868a492a,3.0,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,0.7973333333333333,,0.4015338427130296,,0.7693333333333333,,0.4275528702434439,
87f896ff,3.0,10,3,3,4,4.3028,3.7012,3.8524,0.5385,0.4821,0.3525,0.05,0.7766666666666666,,0.40238483939690384,,0.7096666666666667,,0.4037927308350413,
885fb931,3.0,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,0.7883333333333333,,0.39910121735307263,,0.714,,0.40644744312811576,
891cb5ef,3.0,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,0.786,,0.3868936741966249,,0.6826666666666666,,0.39897287775458584,
8bd9fdb0,3.0,10,3,3,4,3.8878,4.0913,3.7281,0.5598,0.58,0.474,0.05,0.8,,0.4083220481894316,,0.7876666666666666,,0.4194176006861185,
8c3ff9ab,3.0,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,0.8013333333333333,,0.39627774134328697,,0.767,,0.4077842994030093,
8c69e505,3.0,10,3,3,4,4.4241,3.5732,4.0345,0.5368,0.4491,0.3303,0.05,0.7486666666666667,,0.405314689525968,,0.6983333333333334,,0.42013113659074786,
8df588b1,3.0,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,0.7806666666666666,,0.385958950773593,,0.7276666666666667,,0.427661009090211,
8ef84b07,3.0,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,0.7893333333333333,,0.38607226074385903,,0.7376666666666667,,0.41043074326866613,
93a0ac75,3.0,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,0.7223333333333334,,0.38815601363643576,,0.6466666666666666,,0.4041422236629147,
96778a1f,3.0,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,0.723,,0.38774477968238,,0.6396666666666667,,0.3894722979963591,
9701c5f8,3.0,10,3,3,4,4.1237,3.9955,3.9642,0.3951,0.3127,0.3878,0.05,0.7226666666666667,,0.37439541077175065,,0.612,,0.37969790638652406,
97068ed0,3.0,10,3,3,4,4.0785,3.8057,3.5908,0.4851,0.3864,0.5813,0.05,0.801,,0.39257297138375963,,0.7386666666666667,,0.4145635267032054,
99071f9e,3.0,10,3,3,4,3.9677,3.5143,3.8441,0.3217,0.4108,0.571,0.05,0.7603333333333333,,0.39577379300269167,,0.7076666666666667,,0.38287153887090214,
9a5a868b,3.0,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,0.7856666666666666,,0.3928750775105473,,0.727,,0.4019394776489262,
9b87f1d8,3.0,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,0.8143333333333334,,0.3991474865809733,,0.7853333333333333,,0.41017995158131076,
9b9dba39,3.0,10,3,3,4,3.7211,4.1344,3.9304,0.4222,0.5359,0.5902,0.05,0.8143333333333334,,0.38383685634458736,,0.785,,0.4178998211905402,
9d207cca,3.0,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,0.7846666666666666,,0.41554003285206054,,0.7526666666666667,,0.40666587299032775,
