geometry_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
6c9a8efb,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,0.3303333333333333,,0.4177013985350012,,0.17933333333333334,,0.40550303299205703,
6e0b8628,10,3,3,4,3.9481,4.1174,4.018,0.47,0.3927,0.5153,0.05,0.30433333333333334,,0.46615908749978285,,0.133,,0.37475190230793937,
70ceca4d,10,3,3,4,4.4551,4.1718,4.0744,0.4818,0.4986,0.4913,0.05,0.31833333333333336,,0.4323122430668881,,0.162,,0.49381004776072956,
75dbc9b5,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,0.358,,0.44672705105747956,,0.19433333333333333,,0.4895638927275593,
76ca540e,10,3,3,4,3.8738,3.7931,3.6128,0.4838,0.528,0.326,0.05,0.3373333333333333,,0.3878170331183546,,0.174,,0.4480956353668699,
7d003439,10,3,3,4,3.5713,3.7451,4.0494,0.396,0.5624,0.4096,0.05,0.33266666666666667,,0.43750039178200706,,0.17166666666666666,,0.43140926076306196,
7e5df07f,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,0.3443333333333333,,0.4618914101490115,,0.16833333333333333,,0.521756250797043,
7ee5b35e,10,3,3,4,3.7627,3.7988,3.9108,0.5007,0.591,0.5774,0.05,0.426,,0.44641874742263626,,0.25266666666666665,,0.4020521793083334,
7f2924f1,10,3,3,4,3.7158,4.1318,4.4668,0.5578,0.3205,0.3404,0.05,0.242,,0.4481939173736209,,0.12,,0.4932497489088213,
80827b09,10,3,3,4,4.2367,4.4566,3.5245,0.5036,0.5177,0.5245,0.05,0.35233333333333333,,0.38667960305875126,,0.187,,0.392664330111506,
82e534a8,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,0.22033333333333333,,0.3892704975632806,,0.10133333333333333,,0.4058090426891207,
833f96ce,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,0.2816666666666667,,0.42015320674262674,,0.12933333333333333,,0.4113963614686664,
8640d9db,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,0.4,,0.4642320607851818,,0.19866666666666666,,0.3968256354935088,
868a492a,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,0.359,,0.42228244301887474,,0.203,,0.39144251943007663,
87f896ff,10,3,3,4,4.3028,3.7012,3.8524,0.5385,0.4821,0.3525,0.05,0.32766666666666666,,0.38371550926227566,,0.17466666666666666,,0.45660098727377213,
885fb931,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,0.294,,0.35028635071079534,,0.15633333333333332,,0.46618325358230994,
891cb5ef,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,0.254,,0.43314373016355795,,0.125,,0.4346857113660881,
8bd9fdb0,10,3,3,4,3.8878,4.0913,3.7281,0.5598,0.58,0.474,0.05,0.434,,0.44649892280766834,,0.248,,0.45866949568831966,
8c3ff9ab,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,0.3566666666666667,,0.4224349866860693,,0.18866666666666668,,0.40827785178340015,
8c69e505,10,3,3,4,4.4241,3.5732,4.0345,0.5368,0.4491,0.3303,0.05,0.30766666666666664,,0.37441861440437024,,0.157,,0.40162527779390894,
8df588b1,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,0.3016666666666667,,0.4455351335177207,,0.15733333333333333,,0.38719888133445424,
8ef84b07,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,0.302,,0.40558608864867435,,0.16,,0.47806772542469944,
93a0ac75,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,0.196,,0.3539457316247949,,0.094,,0.601994364106162,
96778a1f,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,0.24133333333333334,,0.3873767408703248,,0.103,,0.36166242974545837,
9701c5f8,10,3,3,4,4.1237,3.9955,3.9642,0.3951,0.3127,0.3878,0.05,0.171,,0.4566903639860871,,0.082,,0.44513852154526895,
97068ed0,10,3,3,4,4.0785,3.8057,3.5908,0.4851,0.3864,0.5813,0.05,0.3486666666666667,,0.4449780784406936,,0.17033333333333334,,0.45763881619380425,
99071f9e,10,3,3,4,3.9677,3.5143,3.8441,0.3217,0.4108,0.571,0.05,0.2623333333333333,,0.42174961390011356,,0.13366666666666666,,0.4092002149249113,
9a5a868b,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,0.234,,0.39235736923628545,,0.115,,0.371765773896628,
9b87f1d8,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,0.4126666666666667,,0.405866977661883,,0.24766666666666667,,0.4046852527812808,
9b9dba39,10,3,3,4,3.7211,4.1344,3.9304,0.4222,0.5359,0.5902,0.05,0.37366666666666665,,0.4055723170749065,,0.20333333333333334,,0.38299617579415224,
9d207cca,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,0.3626666666666667,,0.401940819353204,,0.206,,0.41594390686597565,
a0407d2b,10,3,3,4,4.2103,4.3631,4.23,0.3751,0.558,0.3438,0.05,0.24566666666666667,,0.47042717879870544,,0.111,,0.36483681966378323,
a27b73b0,10,3,3,4,4.2884,3.6742,4.3994,0.3627,0.5689,0.4553,0.05,0.2986666666666667,,0.40500612445736817,,0.155,,0.391692503455182,
a672a812,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,0.26966666666666667,,0.35956682604292595,,0.13066666666666665,,0.417764587785048,
a72e7022,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,0.21733333333333332,,0.4042853485654277,,0.10533333333333333,,0.4137697490195344,
a8599863,10,3,3,4,3.5802,3.8238,3.9178,0.4161,0.493,0.3758,0.05,0.297,,0.38373838837240665,,0.14633333333333334,,0.3545389440034036,
a8df8ba0,10,3,3,4,4.3655,3.6056,3.8721,0.5442,0.4963,0.3909,0.05,0.3393333333333333,,0.4398324199697603,,0.19133333333333333,,0.3973187229961999,
a9d91d2e,10,3,3,4,3.8688,3.5427,4.1472,0.4241,0.5223,0.4872,0.05,0.3416666666666667,,0.471694451704721,,0.17833333333333334,,0.3491047901873068,
aa1d2ba5,10,3,3,4,4.0101,3.8577,4.1743,0.3154,0.5895,0.5826,0.05,0.33,,0.4117045535885631,,0.17666666666666667,,0.40105551785025106,
ab14479f,10,3,3,4,3.5463,4.4744,3.6427,0.5832,0.5726,0.5282,0.05,0.442,,0.4200964222410563,,0.25866666666666666,,0.44896441848490976,
ac874649,10,3,3,4,3.8268,3.532,3.7106,0.3712,0.4224,0.494,0.05,0.293,,0.4247561779992857,,0.14,,0.37512128360773006,
acf8eb57,10,3,3,4,3.5794,4.1838,3.9386,0.5512,0.398,0.4308,0.05,0.311,,0.4485688035746671,,0.16466666666666666,,0.39166597543034015,
b0cebb3f,10,3,3,4,3.5632,3.8648,4.2178,0.5694,0.5528,0.5506,0.05,0.45666666666666667,,0.42036660066382564,,0.24466666666666667,,0.45649117928258764,
b2252494,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,0.21633333333333332,,0.3836624210267015,,0.09966666666666667,,0.4062743990303955,
b3a92429,10,3,3,4,4.1174,4.1886,4.3261,0.5975,0.3738,0.4754,0.05,0.31566666666666665,,0.3898871825772748,,0.16366666666666665,,0.42756880852904205,
b5c28208,10,3,3,4,4.0354,3.9572,4.2811,0.3122,0.4896,0.4842,0.05,0.242,,0.4149966850186199,,0.12833333333333333,,0.40900890719471267,
bc38436d,10,3,3,4,3.548,3.6944,3.8244,0.4678,0.3163,0.5032,0.05,0.296,,0.3818026043214867,,0.14933333333333335,,0.38056181115963,
bc63d385,10,3,3,4,3.7591,3.7318,3.518,0.4082,0.4943,0.5641,0.05,0.372,,0.44135164081775563,,0.20133333333333334,,0.4018855609699294,
