geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
5ad50cb4,1.0,10,3,3,4,3.6857,4.4906,4.058,0.5884,0.3052,0.5483,0.05,0.3313333333333333,,0.4919874802456786,,0.16366666666666665,,0.4116771781327925,
5d8dca5d,1.0,10,3,3,4,4.3237,3.5868,3.8771,0.3303,0.5081,0.5956,0.05,0.29,,0.4101935163722853,,0.153,,0.39737729479350575,
5f0715ea,1.0,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,0.24333333333333335,,0.38276866056459186,,0.11633333333333333,,0.3773620918976229,
601af80d,1.0,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,0.2996666666666667,,0.409049157809698,,0.163,,0.39706807150460777,
61334aff,1.0,10,3,3,4,3.6611,3.7165,4.1187,0.3653,0.3569,0.4133,0.05,0.23533333333333334,,0.3657058785195443,,0.105,,0.4011380703127416,
6142e7a4,1.0,10,3,3,4,4.3975,3.6227,3.6893,0.4391,0.4333,0.3343,0.05,0.251,,0.3975898092445731,,0.12366666666666666,,0.39181030418343443,
6187061c,1.0,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,0.44766666666666666,,0.40883480809928446,,0.258,,0.3859067684104971,
6569c1c0,1.0,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,0.332,,0.41687072969019073,,0.16266666666666665,,0.4064368274537977,
6669c902,1.0,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,0.23266666666666666,,0.3780453812419692,,0.11233333333333333,,0.4230620073846817,
6c9a8efb,1.0,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,0.3303333333333333,,0.4177013985350012,,0.17933333333333334,,0.40550303299205703,
6e0b8628,1.0,10,3,3,4,3.9481,4.1174,4.018,0.47,0.3927,0.5153,0.05,0.30433333333333334,,0.46615908749978285,,0.133,,0.37475190230793937,
70ceca4d,1.0,10,3,3,4,4.4551,4.1718,4.0744,0.4818,0.4986,0.4913,0.05,0.31833333333333336,,0.4323122430668881,,0.162,,0.49381004776072956,
75dbc9b5,1.0,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,0.358,,0.44672705105747956,,0.19433333333333333,,0.4895638927275593,
76ca540e,1.0,10,3,3,4,3.8738,3.7931,3.6128,0.4838,0.528,0.326,0.05,0.3373333333333333,,0.3878170331183546,,0.174,,0.4480956353668699,
7d003439,1.0,10,3,3,4,3.5713,3.7451,4.0494,0.396,0.5624,0.4096,0.05,0.33266666666666667,,0.43750039178200706,,0.17166666666666666,,0.43140926076306196,
7e5df07f,1.0,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,0.3443333333333333,,0.4618914101490115,,0.16833333333333333,,0.521756250797043,
